名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,最大記錄數,檔案類欄位,實際型態,合併筆數,合併來源,分級未涵蓋新增資源
桃園市經濟弱勢原住民建購修繕住宅補助統計,政府開放資料平臺;桃園市政府,原住民族行政局,CSV,1,OGDL-1.0,2026/8/2 上午 10:01:19,https://odportal.tw/dataset/pSJPR1wq,https://opendata.tycg.gov.tw/datalist/1076f2dd-cb46-4a68-b946-5cee06f7de85,真資料,1,1,13.0,,text,2,8BjRf9iK;pSJPR1wq,False
原住民族地方文物館參觀人次統計,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 01:06:45,https://odportal.tw/dataset/8GDutuJb,https://data.gov.tw/dataset/164265,真資料,3,2,2687.0,,json;text,1,8GDutuJb,False
臺北市原住民長青學苑據點,臺北市政府,原民會,CSV,1,,2026/2/11 上午 10:59:38,https://odportal.tw/dataset/8GTMOcf4,https://data.taipei/dataset/detail?id=4bc7529b-6f0a-4916-bedb-52947cba4180,網址無效,1,1,,,,1,8GTMOcf4,False
原住民族綜合發展基金附屬單位預算,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:06:21,https://odportal.tw/dataset/8I2pJi_V,https://data.gov.tw/dataset/112726,連結殼,3,2,13.0,檔案pdf,json;text,1,8I2pJi_V,False
補辦增劃編原住民保留地行政院核定筆數及面積,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:50:02,https://odportal.tw/dataset/8IbkkKhm,https://data.gov.tw/dataset/73709,真資料,3,2,6.0,,json;text,1,8IbkkKhm,False
108年現住人口數按性別及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:55:13,https://odportal.tw/dataset/8MVmsFrW,https://data.tainan.gov.tw/DataSet/Detail/8c84ad06-90d6-4b55-ad6a-a8af240ad2b9,真資料,24,2,114.0,,html;text,1,8MVmsFrW,False
原住民族企業融入原住民族傳統相關作品情形-按行業別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:12:44,https://odportal.tw/dataset/8NynRBL2,https://data.gov.tw/dataset/174318,真資料,3,2,19.0,,json;text,1,8NynRBL2,False
原住民族委員會輔導取得3章1Q友善農業團體,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:44:15,https://odportal.tw/dataset/8c3qC25L,https://data.gov.tw/dataset/161509,真資料,3,2,32.0,,json;text,1,8c3qC25L,False
現住原住民教育程度(88-91年),政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/18 上午 01:02:59,https://odportal.tw/dataset/8d55DuCo,https://data.gov.tw/dataset/130091,失效,1,1,,,,1,8d55DuCo,False
國民中學原住民學生及畢業生人數—按年級別與校別分,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2026/5/7 上午 09:33:20,https://odportal.tw/dataset/8eR8Y_os,https://data.gov.tw/dataset/33509,真資料,6,2,6050.0,,text,1,8eR8Y_os,False
大專院校原住民族獎助學金各獲獎類別學生族別統計,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:49:31,https://odportal.tw/dataset/8iXDWLsT,https://data.gov.tw/dataset/93932,真資料,3,2,32.0,,json;text,1,8iXDWLsT,False
108年原住民族考試(第二試),政府開放資料平臺,,ZIP,1,OGDL-1.0,2023/12/22 上午 11:19:34,https://odportal.tw/dataset/8osh6fRu,https://data.gov.tw/dataset/164821,二進位,1,1,,,zip,1,8osh6fRu,False
112年公務人員特種考試原住民族考試(第二試),政府開放資料平臺,,ZIP,1,OGDL-1.0,2023/12/15 下午 03:45:47,https://odportal.tw/dataset/92ey6H4b,https://data.gov.tw/dataset/166639,二進位,1,1,,,zip,1,92ey6H4b,False
115年現住原住民人口數按性別、原住民身分及族別分,政府開放資料平臺,,CSV;JSON,2,OGDL-1.0,2026/7/13 上午 11:55:51,https://odportal.tw/dataset/94E3LTYK,https://data.gov.tw/dataset/176714,真資料,2,2,114.0,,json;text,1,94E3LTYK,False
原住民人口按性別、年齡、原住民身分及婚姻狀況(含同婚),政府開放資料平臺,,CSV;JSON,3,OGDL-1.0,2026/3/6 下午 04:45:01,https://odportal.tw/dataset/98uepIYz,https://data.gov.tw/dataset/117989,二進位,3,2,,,zip,1,98uepIYz,False
原住民有酬就業者每月主要工作收入-按工作狀況分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/3/6 上午 07:04:11,https://odportal.tw/dataset/9FCOKXn0,https://data.gov.tw/dataset/161522,真資料,3,2,203.0,,json;text,1,9FCOKXn0,False
