名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
培育原住民族社會工作專業人才獎勵統計表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 05:09:16,https://odportal.tw/dataset/iLmHP6jL,https://data.gov.tw/dataset/112685,真資料,3,2,,16,,json;text
推動原住民多元產業發展2.0計畫-部落產業升級三年推動計畫核定列表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:55:05,https://odportal.tw/dataset/chVzXL3P,https://data.gov.tw/dataset/161513,真資料,3,2,,25,,json;text
推動原住民族友善耕作加值推廣計畫核定單位一覽表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:50:15,https://odportal.tw/dataset/5Nc5VLHZ,https://data.gov.tw/dataset/150965,真資料,3,2,,149,,json;text
推動原住民族地區溫泉示範區旅遊行程建議,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 05:13:17,https://odportal.tw/dataset/Pb5_2naR,https://data.gov.tw/dataset/166822,真資料,3,2,,5,,json;text
推動原住民族多元產業發展2.0計畫-部落產業升級-先期計畫核定名單,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:54:58,https://odportal.tw/dataset/qISCLMj2,https://data.gov.tw/dataset/156629,真資料,3,2,,37,,json;text
推動原住民族特色農業升級計畫核定單位一覽表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 05:02:39,https://odportal.tw/dataset/Im3j97O7,https://data.gov.tw/dataset/165268,真資料,3,2,,62,,json;text
教育部原住民族語文學獎歷屆得獎名單,政府開放資料平臺,,CSV,1,OGDL-1.0,2024/10/15 下午 04:54:25,https://odportal.tw/dataset/l5OA5DVt,https://data.gov.tw/dataset/161867,真資料,1,1,,235,,text
現住人口數按性別及原住民身分分,政府開放資料平臺,,CSV;JSON;API,51,OGDL-1.0,2025/12/25 上午 09:06:12,https://odportal.tw/dataset/r5wRe_ES,https://data.gov.tw/dataset/32974,真資料,51,2,,3787,,text
現住人口數按性別及原住民身分分（新增區域代碼）,政府開放資料平臺,,CSV;JSON,93,OGDL-1.0,2026/7/7 下午 03:15:27,https://odportal.tw/dataset/MOlNnvE0,https://data.gov.tw/dataset/77145,真資料,93,2,,3256,,text
現住原住民人口按性別、年齡,政府開放資料平臺,,CSV;JSON,41,OGDL-1.0,2025/12/15 下午 09:45:01,https://odportal.tw/dataset/XkxA_LA-,https://data.gov.tw/dataset/32946,二進位,41,2,,,,zip
現住原住民人口按性別、年齡（新增區域代碼）,政府開放資料平臺,,ZIP;JSON,47,OGDL-1.0,2026/7/13 上午 09:48:03,https://odportal.tw/dataset/3Ukl8ECv,https://data.gov.tw/dataset/77129,二進位,47,2,,,,zip
現住原住民人口按性別、身分、原住民族別分,政府開放資料平臺,,CSV;JSON;API,51,OGDL-1.0,2025/12/25 下午 07:07:03,https://odportal.tw/dataset/Q_ocBW-b,https://data.gov.tw/dataset/32971,真資料,51,2,,973,,text
